episode,player,total,game_over,save,save_piece,offgoal,offgoal_piece,capture,block,move_to_goal,move_to_goal_piece,endgame,game_length_penalty
6000,white,-8200.0,0,65000,19000,-270000,-30000,7000,4500,110000,24000,50000,75855
6000,black,955600.0,1000000,70000,21000,-330000,-102000,11500,5500,125000,38000,50000,75855
6001,white,1906423.4,2000000,70000,21000,-510000,-78000,14000,10000,155000,34000,50000,79003
6001,black,-109972.50000000004,0,60000,18000,-510000,-36000,14000,10000,145000,24000,0,79003
6002,white,-2986406.8,-3000000,55000,11000,-150000,0,9500,8500,85000,15000,0,166176
6002,black,-33383.29999999999,0,70000,21000,-360000,-54000,19500,10000,130000,30000,50000,166176
6003,white,850712.05,1000000,70000,21000,-660000,-96000,14000,10500,180000,37000,50000,228826
6003,black,-175268.44999999998,0,65000,16000,-660000,-156000,17500,12000,175000,42000,50000,228826
6004,white,-65534.39999999998,0,65000,20000,-360000,-126000,15500,5500,125000,41000,50000,128271
6004,black,909091.0,1000000,70000,21000,-450000,-120000,9000,6500,145000,41000,50000,128271
6005,white,795655.75,1000000,70000,21000,-630000,-282000,10000,6500,175000,68000,50000,246753
6005,black,-178177.0,0,65000,15000,-450000,-360000,11000,8000,140000,75000,50000,246753
6006,white,-1200698.5,-1000000,65000,19000,-750000,-132000,7000,7500,190000,41000,50000,177310
6006,black,-156564.8,0,70000,21000,-540000,-228000,12000,4000,160000,59000,50000,177310
6007,white,-155926.65000000005,0,60000,20000,-600000,-144000,11500,8000,160000,44000,50000,102378
6007,black,1943099.75,2000000,70000,21000,-420000,-60000,16000,9500,140000,31000,50000,102378
6008,white,-90817.99999999999,0,55000,15000,-390000,-78000,9500,7000,125000,29000,0,47278
6008,black,3047704.4,3000000,70000,21000,-150000,0,8500,4000,95000,21000,50000,47278
6009,white,905812.4,1000000,70000,21000,-510000,-72000,11000,6000,155000,33000,50000,117855
6009,black,-166624.25000000003,0,65000,15000,-630000,-90000,12000,10500,170000,30000,0,117855
6010,white,-4044289.0,-4000000,50000,8000,-270000,-24000,8500,9500,95000,12000,0,60031
6010,black,35112.0,0,70000,21000,-150000,-36000,7500,3500,95000,27000,50000,60031
6011,white,942757.85,1000000,70000,21000,-330000,-144000,11500,8000,125000,45000,50000,143380
6011,black,-92544.80000000002,0,65000,16000,-390000,-162000,10500,5500,130000,43000,50000,143380
6012,white,-175073.20000000007,0,65000,21000,-780000,-30000,8500,5500,195000,26000,50000,107880
6012,black,828715.3999999999,1000000,70000,21000,-600000,-216000,11000,7500,170000,57000,50000,107880
6013,white,-164663.10000000006,0,65000,19000,-660000,-120000,13000,6000,175000,39000,50000,248160
6013,black,904910.05,1000000,70000,21000,-570000,-24000,14000,10500,165000,25000,50000,248160
6014,white,-58394.899999999965,0,70000,21000,-450000,-24000,10000,6500,145000,25000,50000,45150
6014,black,-3048828.5,-3000000,55000,14000,-300000,-36000,10000,4500,110000,20000,0,45150
6015,white,899378.75,1000000,70000,21000,-570000,-30000,6500,9000,165000,26000,50000,90525
6015,black,-11755.74999999999,0,65000,20000,-270000,-42000,6500,4000,110000,27000,50000,90525
6016,white,1048206.4,1000000,70000,21000,-150000,0,5500,8500,95000,21000,50000,52650
6016,black,14143.199999999997,0,65000,18000,-210000,-24000,11500,3000,100000,22000,50000,52650
6017,white,1932089.8499999999,2000000,70000,21000,-450000,-54000,12500,5000,145000,30000,50000,71253
6017,black,-7766.849999999989,0,60000,15000,-210000,-12000,8000,7500,95000,17000,0,71253
6018,white,-84219.29999999999,0,50000,9000,-360000,-48000,3500,7000,110000,17000,0,53956
6018,black,3926731.2,4000000,70000,21000,-390000,-132000,14500,4500,135000,43000,50000,53956
6019,white,5175.299999999992,0,70000,21000,-270000,-12000,11500,4500,115000,23000,50000,70876
6019,black,-3196661.4,-3000000,55000,14000,-690000,-90000,8500,4500,175000,29000,0,70876
6020,white,-75620.0,0,65000,20000,-360000,-150000,12000,3000,125000,45000,50000,321201
6020,black,896321.0,1000000,70000,21000,-540000,-72000,12000,5500,160000,33000,50000,321201
6021,white,-66847.20000000003,0,50000,9000,-330000,-30000,7000,7000,105000,14000,0,47895
6021,black,4057695.5,4000000,70000,21000,-120000,0,8500,4500,90000,21000,50000,47895
6022,white,-8353.800000000008,0,65000,20000,-240000,0,6500,2500,105000,20000,0,37675
6022,black,979314.4,1000000,70000,21000,-330000,-24000,5500,5500,125000,25000,50000,37675
6023,white,-59655.0,0,70000,21000,-360000,-114000,8500,4500,130000,40000,50000,33930
6023,black,-3067410.15,-3000000,55000,13000,-390000,0,5000,9500,125000,13000,0,33930
6024,white,-2086676.8,-2000000,60000,16000,-420000,-102000,10000,5000,130000,33000,50000,58653
6024,black,9144.800000000008,0,70000,21000,-240000,-30000,12500,3500,110000,26000,50000,58653
6025,white,-28023.749999999993,0,60000,14000,-240000,-36000,6500,5000,100000,20000,0,66430
6025,black,1998012.5,2000000,70000,21000,-180000,-120000,7500,5500,100000,41000,50000,66430
6026,white,-109483.70000000003,0,45000,19000,-450000,-72000,12500,9000,130000,31000,0,47895
6026,black,5014703.8,5000000,70000,21000,-210000,-48000,17000,3000,105000,29000,50000,47895
6027,white,-8541.949999999992,0,65000,19000,-210000,-102000,10000,3500,105000,38000,50000,112101
6027,black,959276.75,1000000,70000,21000,-390000,-30000,7000,8500,135000,26000,50000,112101
6028,white,-15292.200000000008,0,65000,19000,-210000,-54000,7000,6500,100000,28000,0,226128
6028,black,950151.4,1000000,70000,21000,-300000,-144000,8500,4000,120000,45000,50000,226128
6029,white,-1389.8499999999979,0,65000,18000,-240000,-36000,5000,5500,105000,24000,50000,42195
6029,black,945398.75,1000000,70000,21000,-390000,-66000,3500,7000,135000,32000,50000,42195
6030,white,985708.0,1000000,70000,21000,-270000,-60000,3500,3500,115000,31000,50000,62481
6030,black,31760.0,0,65000,20000,-120000,0,8000,2000,85000,20000,0,62481
6031,white,-135938.25000000003,0,70000,21000,-660000,-48000,9000,6500,180000,29000,50000,68635
6031,black,-991665.1,-1000000,65000,19000,-210000,-42000,7500,5500,100000,26000,50000,68635
6032,white,8332.80000000001,0,60000,17000,-150000,-18000,2500,4500,85000,20000,0,32896
6032,black,2041068.8,2000000,70000,21000,-150000,-18000,9000,2500,95000,24000,50000,32896
6033,white,5010314.2,5000000,70000,21000,-240000,-24000,7500,6500,110000,25000,50000,28441
6033,black,-14479.550000000003,0,45000,16000,-150000,-72000,6000,5500,85000,28000,0,28441
6034,white,86458.79999999999,0,70000,21000,-30000,0,6500,4500,75000,21000,50000,26335
6034,black,-2968668.6,-3000000,55000,18000,-90000,0,4000,4000,70000,18000,0,26335
6035,white,944291.75,1000000,70000,21000,-360000,-102000,10000,2500,130000,38000,50000,137550
6035,black,-67008.49999999999,0,65000,16000,-360000,-48000,5000,4000,125000,24000,0,137550
6036,white,1057676.2,1000000,70000,21000,-120000,0,9500,4000,90000,21000,50000,39903
6036,black,-35081.399999999994,0,65000,20000,-300000,-24000,7500,4000,115000,24000,0,39903
